SpeciesID	SRR13378546	SRR13378550	SRR13378552	SRR13378554	SRR13378555	SRR13378556	SRR13378560	SRR13378562	SRR13378563	SRR13378564	SRR13378565	SRR13378566	SRR13378567	SRR13378569	SRR13378571	SRR13378573	SRR13378574	SRR13378577	SRR13378578	SRR13378579	SRR13378580	SRR13378581	SRR13378582	SRR13378583	SRR13378584	SRR13378585	SRR13378586	SRR13378588	SRR13378589	SRR13378590	SRR13378591	SRR13378592	SRR13378594	SRR13378595	SRR13378597	SRR13378599	SRR13378600	SRR13378601	SRR13378602	SRR13378603	SRR13378605	SRR13378606	SRR13378607	SRR13378608	SRR13378609	SRR13378610	SRR13378614	SRR13378616	SRR13378618	SRR13378621	SRR13378622	SRR13378623	SRR13378624	SRR13378625	SRR13378628	SRR13378630	SRR13378631	SRR13378632	SRR13378633
S27	0	1076609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1386	2870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S29	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S30	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12632	11297	4046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S32	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0
S33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9323	0	796	0	0	0	0	0	0	0	0	0	0	0	0	0	7306	0	0	0	0	0	0	0
S34	116	105262	0	0	0	0	0	0	0	0	0	1996	0	0	0	0	0	0	1285	1127	0	0	0	0	0	0	0	0	0	3470	0	0	0	1209040	0	0	0	0	0	2485	0	2790	7201	0	0	230	0	43876	0	2237	0	0	0	0	5227	0	0	0	0
S35	1841	0	1359	0	0	0	774	10219	0	0	0	0	0	0	0	0	3919	0	0	5408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	4579	0	743768	0	0	0	0	367	806	0	0	0	29138	0	0	0	35262	0	0	0	0	0	0	1477
S36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0
S38	0	22244	0	0	0	0	24526	125259	0	0	41526	0	0	0	0	0	12029	0	0	1038	0	1252	0	0	0	0	0	0	0	2573	0	0	0	5612	39344	20050	0	67170	0	7843	233	0	2480	1825	14622	0	5470	19041	0	5665	0	8705	0	0	43659	16265	0	0	0
S39	85	1580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1060	4232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S40	0	0	3891	518	176	115511	10623	9785	24394	33892	0	1676	20862	10014	713	8288	313456	10452	15756	747	16202	0	51499	463	15173	5849	8236	1159	7413	695	13398	32213	1709	4919	0	0	5610	0	0	264	4720	2440	0	0	0	5102	29315	5089	5002	2296	3762	0	0	959	2967	2796	0	62	0
S41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6804	0	0	0	1128	0	39	0	0	0	0	0	0	1065	0	0	0	0	0	854	0	0	0	1025
S42	0	11220	0	0	0	0	4101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5158	2600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43	3123	134069	0	0	0	0	120	1363	0	0	15064	0	0	0	0	0	58588	0	1499	0	0	1044	0	0	0	0	0	0	0	644	0	0	0	0	116409	9240	0	61513	0	966	0	0	444	2367	2139	0	1180	31740	0	6311	0	15472	0	0	0	0	0	0	0
S44	23202	29046	0	0	0	3624	50929	27369	7685	1143	134380	0	2310	0	0	0	36890	0	0	399	2150	0	0	0	6661	823	0	0	0	2033	0	3057	0	7043	18140	61070	0	72452	0	0	1011	0	0	162	1723	0	0	35846	446	728	0	29489	0	0	2835	0	0	0	15174
