taxon	SRR13378546	SRR13378550	SRR13378552	SRR13378554	SRR13378555	SRR13378556	SRR13378560	SRR13378562	SRR13378563	SRR13378564	SRR13378565	SRR13378566	SRR13378567	SRR13378569	SRR13378571	SRR13378573	SRR13378574	SRR13378577	SRR13378578	SRR13378579	SRR13378580	SRR13378581	SRR13378582	SRR13378583	SRR13378584	SRR13378585	SRR13378586	SRR13378588	SRR13378589	SRR13378590	SRR13378591	SRR13378592	SRR13378594	SRR13378595	SRR13378597	SRR13378599	SRR13378600	SRR13378601	SRR13378602	SRR13378603	SRR13378605	SRR13378606	SRR13378607	SRR13378608	SRR13378609	SRR13378610	SRR13378614	SRR13378616	SRR13378618	SRR13378621	SRR13378622	SRR13378623	SRR13378624	SRR13378625	SRR13378628	SRR13378630	SRR13378631	SRR13378632	SRR13378633
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae 	0	3104.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens 	31252.0	3208.0	0	0	495.0	557.0	0	23384.0	0	0	0	428.0	0	0	0	0	1029.0	523.0	0	2942.0	0	0	95.0	0	567.0	0	0	0	407.0	18859.0	0	2519.0	99.0	3429.0	19947.0	11556.0	6194.0	15478.0	15418.0	10578.0	0	3018.0	101721.0	0	49794.0	2963.0	2373.0	6871.0	10262.0	123.0	7749.0	20811.0	0	13988.0	39937.0	38178.0	7982.0	15471.0	12755.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae 	0	3589.0	0	0	0	0	0	28897.0	0	0	51206.0	0	0	0	0	0	0	0	0	1982.0	0	0	0	0	0	0	0	0	0	0	0	0	0	109595.0	46846.0	7938.0	0	0	0	0	0	0	0	74561.0	9893.0	0	0	21352.0	0	0	0	22224.0	0	0	0	3433.0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus 	0	1076609.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1386.0	2870.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus 	0	0	0	0	0	0	0	0	1176.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei 	163.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33246.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12632.0	11297.0	4046.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1561.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecichinchillae 	0	0	0	0	0	0	0	181.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9323.0	0	796.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7306.0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis 	116.0	105262.0	0	0	0	0	0	0	0	0	0	1996.0	0	0	0	0	0	0	1285.0	1127.0	0	0	0	0	0	0	0	0	0	3470.0	0	0	0	1209040.0	0	0	0	0	0	2485.0	0	2790.0	7201.0	0	0	230.0	0	43876.0	0	2237.0	0	0	0	0	5227.0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis 	1841.0	0	1359.0	0	0	0	774.0	10219.0	0	0	0	0	0	0	0	0	3919.0	0	0	5408.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692.0	4579.0	0	743768.0	0	0	0	0	367.0	806.0	0	0	0	29138.0	0	0	0	35262.0	0	0	0	0	0	0	1477.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4800.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609.0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus 	0	22244.0	0	0	0	0	24526.0	125259.0	0	0	41526.0	0	0	0	0	0	12029.0	0	0	1038.0	0	1252.0	0	0	0	0	0	0	0	2573.0	0	0	0	5612.0	39344.0	20050.0	0	67170.0	0	7843.0	233.0	0	2480.0	1825.0	14622.0	0	5470.0	19041.0	0	5665.0	0	8705.0	0	0	43659.0	16265.0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius 	85.0	1580.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69446.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1060.0	4232.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_530 	0	0	3891.0	518.0	176.0	115511.0	10623.0	9785.0	24394.0	33892.0	0	1676.0	20862.0	10014.0	713.0	8288.0	313456.0	10452.0	15756.0	747.0	16202.0	0	51499.0	463.0	15173.0	5849.0	8236.0	1159.0	7413.0	695.0	13398.0	32213.0	1709.0	4919.0	0	0	5610.0	0	0	264.0	4720.0	2440.0	0	0	0	5102.0	29315.0	5089.0	5002.0	2296.0	3762.0	0	0	959.0	2967.0	2796.0	0	62.0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_OM08_11 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6804.0	0	0	0	1128.0	0	39.0	0	0	0	0	0	0	1065.0	0	0	0	0	0	854.0	0	0	0	1025.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris 	0	11220.0	0	0	0	0	4101.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5158.0	2600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron 	3123.0	134069.0	0	0	0	0	120.0	1363.0	0	0	15064.0	0	0	0	0	0	58588.0	0	1499.0	0	0	1044.0	0	0	0	0	0	0	0	644.0	0	0	0	0	116409.0	9240.0	0	61513.0	0	966.0	0	0	444.0	2367.0	2139.0	0	1180.0	31740.0	0	6311.0	0	15472.0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis 	23202.0	29046.0	0	0	0	3624.0	50929.0	27369.0	7685.0	1143.0	134380.0	0	2310.0	0	0	0	36890.0	0	0	399.0	2150.0	0	0	0	6661.0	823.0	0	0	0	2033.0	0	3057.0	0	7043.0	18140.0	61070.0	0	72452.0	0	0	1011.0	0	0	162.0	1723.0	0	0	35846.0	446.0	728.0	0	29489.0	0	0	2835.0	0	0	0	15174.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus 	5445.0	372158.0	1120.0	489.0	0	409.0	0	51789.0	4890.0	0	82964.0	0	0	0	0	0	0	0	0	22315.0	7615.0	889.0	5305.0	408.0	0	0	0	0	0	132014.0	0	0	0	91176.0	64240.0	22360.0	0	47649.0	0	7625.0	0	0	469.0	0	8632.0	0	0	98297.0	594.0	0	0	23431.0	0	0	0	53374.0	0	647.0	4965.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens 	0	13622.0	0	0	0	0	0	24550.0	0	2009.0	606.0	0	0	0	0	0	4474.0	0	0	137.0	0	0	0	0	0	0	0	0	0	1935.0	0	323.0	0	0	4857.0	4917.0	0	0	0	0	1110.0	0	0	0	3785.0	0	0	6148.0	0	0	0	0	0	0	0	3356.0	0	0	10648.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis 	50.0	0	0	0	0	0	0	27822.0	0	0	1100.0	0	0	0	0	0	8910.0	0	0	0	0	0	0	0	0	0	0	0	0	1459.0	0	0	0	544.0	18986.0	2231.0	0	1221.0	0	786.0	0	0	0	0	0	0	0	8821.0	0	0	0	25008.0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5625.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa 	0	557039.0	0	0	0	0	0	23271.0	0	0	0	0	392.0	0	3296.0	0	1233.0	0	0	27761.0	722.0	506.0	0	0	0	0	0	0	0	0	0	0	0	9806.0	0	16073.0	0	20343.0	0	0	0	0	0	1272.0	0	0	0	38660.0	0	0	0	0	0	0	0	0	232.0	0	0
